id,topic,word,part_of_speech,meaning,example,review_day
107,Jobs,actor,,,I use the word actor.,"1,2,4,7,14,30"
108,Jobs,singer,,,I use the word singer.,"1,2,4,7,14,30"
109,Jobs,seller,,,I use the word seller.,"1,2,4,7,14,30"
110,Jobs,cashier,,,I use the word cashier.,"1,2,4,7,14,30"
111,Education,school,,,I use the word school.,"1,2,4,7,14,30"
112,Education,class,,,I use the word class.,"1,2,4,7,14,30"
113,Education,lesson,,,I use the word lesson.,"1,2,4,7,14,30"
114,Education,course,,,I use the word course.,"1,2,4,7,14,30"
115,Education,student,,,I use the word student.,"1,2,4,7,14,30"
116,Education,learn,,,I use the word learn.,"1,2,4,7,14,30"
117,Education,study,,,I use the word study.,"1,2,4,7,14,30"
118,Education,read,,,I use the word read.,"1,2,4,7,14,30"
119,Education,write,,,I use the word write.,"1,2,4,7,14,30"
120,Education,exam,,,I use the word exam.,"1,2,4,7,14,30"
121,Education,test,,,I use the word test.,"1,2,4,7,14,30"
122,Education,grade,,,I use the word grade.,"1,2,4,7,14,30"
123,Education,question,,,I use the word question.,"1,2,4,7,14,30"
124,Education,answer,,,I use the word answer.,"1,2,4,7,14,30"
125,Education,book,,,I use the word book.,"1,2,4,7,14,30"
126,Education,library,,,I use the word library.,"1,2,4,7,14,30"
127,Education,university,,,I use the word university.,"1,2,4,7,14,30"
128,Education,college,,,I use the word college.,"1,2,4,7,14,30"
129,Education,practice,,,I use the word practice.,"1,2,4,7,14,30"
130,Education,remember,,,I use the word remember.,"1,2,4,7,14,30"
131,Education,understand,,,I use the word understand.,"1,2,4,7,14,30"
132,Education,explain,,,I use the word explain.,"1,2,4,7,14,30"
133,Clothes,shirt,,,I use the word shirt.,"1,2,4,7,14,30"
134,Clothes,blouse,,,I use the word blouse.,"1,2,4,7,14,30"
135,Clothes,jacket,,,I use the word jacket.,"1,2,4,7,14,30"
136,Clothes,coat,,,I use the word coat.,"1,2,4,7,14,30"
137,Clothes,sweater,,,I use the word sweater.,"1,2,4,7,14,30"
138,Clothes,dress,,,I use the word dress.,"1,2,4,7,14,30"
139,Clothes,skirt,,,I use the word skirt.,"1,2,4,7,14,30"
140,Clothes,trousers,,,I use the word trousers.,"1,2,4,7,14,30"
141,Clothes,jeans,,,I use the word jeans.,"1,2,4,7,14,30"
142,Clothes,shorts,,,I use the word shorts.,"1,2,4,7,14,30"
143,Clothes,sock,,,I use the word sock.,"1,2,4,7,14,30"
144,Clothes,shoe,,,I use the word shoe.,"1,2,4,7,14,30"
145,Clothes,boot,,,I use the word boot.,"1,2,4,7,14,30"
146,Clothes,hat,,,I use the word hat.,"1,2,4,7,14,30"
147,Clothes,cap,,,I use the word cap.,"1,2,4,7,14,30"
148,Clothes,belt,,,I use the word belt.,"1,2,4,7,14,30"
149,Clothes,scarf,,,I use the word scarf.,"1,2,4,7,14,30"
150,Clothes,glove,,,I use the word glove.,"1,2,4,7,14,30"
151,Clothes,pocket,,,I use the word pocket.,"1,2,4,7,14,30"
152,Clothes,button,,,I use the word button.,"1,2,4,7,14,30"
153,Clothes,uniform,,,I use the word uniform.,"1,2,4,7,14,30"
154,Food,food,,,I use the word food.,"1,2,4,7,14,30"
155,Food,meal,,,I use the word meal.,"1,2,4,7,14,30"
156,Food,breakfast,,,I use the word breakfast.,"1,2,4,7,14,30"
157,Food,lunch,,,I use the word lunch.,"1,2,4,7,14,30"
158,Food,dinner,,,I use the word dinner.,"1,2,4,7,14,30"
159,Food,rice,,,I use the word rice.,"1,2,4,7,14,30"
160,Food,bread,,,I use the word bread.,"1,2,4,7,14,30"
161,Food,meat,,,I use the word meat.,"1,2,4,7,14,30"
162,Food,beef,,,I use the word beef.,"1,2,4,7,14,30"
163,Food,pork,,,I use the word pork.,"1,2,4,7,14,30"
164,Food,chicken,,,I use the word chicken.,"1,2,4,7,14,30"
165,Food,fish,,,I use the word fish.,"1,2,4,7,14,30"
166,Food,egg,,,I use the word egg.,"1,2,4,7,14,30"
167,Food,soup,,,I use the word soup.,"1,2,4,7,14,30"
168,Food,salad,,,I use the word salad.,"1,2,4,7,14,30"
169,Food,cheese,,,I use the word cheese.,"1,2,4,7,14,30"
170,Food,butter,,,I use the word butter.,"1,2,4,7,14,30"
171,Food,sugar,,,I use the word sugar.,"1,2,4,7,14,30"
172,Food,salt,,,I use the word salt.,"1,2,4,7,14,30"
173,Food,pepper,,,I use the word pepper.,"1,2,4,7,14,30"
174,Food,oil,,,I use the word oil.,"1,2,4,7,14,30"
175,Food,cake,,,I use the word cake.,"1,2,4,7,14,30"
176,Food,noodle,,,I use the word noodle.,"1,2,4,7,14,30"
177,Food,sandwich,,,I use the word sandwich.,"1,2,4,7,14,30"
178,Drinks,water,,,I use the word water.,"1,2,4,7,14,30"
179,Drinks,tea,,,I use the word tea.,"1,2,4,7,14,30"
180,Drinks,coffee,,,I use the word coffee.,"1,2,4,7,14,30"
181,Drinks,milk,,,I use the word milk.,"1,2,4,7,14,30"
182,Drinks,juice,,,I use the word juice.,"1,2,4,7,14,30"
183,Drinks,beer,,,I use the word beer.,"1,2,4,7,14,30"
184,Drinks,wine,,,I use the word wine.,"1,2,4,7,14,30"
185,Drinks,soda,,,I use the word soda.,"1,2,4,7,14,30"
186,Drinks,bottle,,,I use the word bottle.,"1,2,4,7,14,30"
187,Drinks,cup,,,I use the word cup.,"1,2,4,7,14,30"
188,Drinks,glass,,,I use the word glass.,"1,2,4,7,14,30"
189,Drinks,drink,,,I use the word drink.,"1,2,4,7,14,30"
190,Drinks,thirsty,,,I use the word thirsty.,"1,2,4,7,14,30"
191,Drinks,fresh,,,I use the word fresh.,"1,2,4,7,14,30"
192,Drinks,hot,,,I use the word hot.,"1,2,4,7,14,30"
193,Drinks,cold,,,I use the word cold.,"1,2,4,7,14,30"
194,Drinks,sweet,,,I use the word sweet.,"1,2,4,7,14,30"
195,Vegetables,carrot,,,I use the word carrot.,"1,2,4,7,14,30"
196,Vegetables,potato,,,I use the word potato.,"1,2,4,7,14,30"
197,Vegetables,tomato,,,I use the word tomato.,"1,2,4,7,14,30"
198,Vegetables,onion,,,I use the word onion.,"1,2,4,7,14,30"
199,Vegetables,garlic,,,I use the word garlic.,"1,2,4,7,14,30"
200,Vegetables,cabbage,,,I use the word cabbage.,"1,2,4,7,14,30"
201,Vegetables,lettuce,,,I use the word lettuce.,"1,2,4,7,14,30"
202,Vegetables,bean,,,I use the word bean.,"1,2,4,7,14,30"
203,Vegetables,pea,,,I use the word pea.,"1,2,4,7,14,30"
204,Vegetables,corn,,,I use the word corn.,"1,2,4,7,14,30"
205,Vegetables,mushroom,,,I use the word mushroom.,"1,2,4,7,14,30"
206,Vegetables,cucumber,,,I use the word cucumber.,"1,2,4,7,14,30"
207,Vegetables,pumpkin,,,I use the word pumpkin.,"1,2,4,7,14,30"
208,Vegetables,spinach,,,I use the word spinach.,"1,2,4,7,14,30"
209,Vegetables,broccoli,,,I use the word broccoli.,"1,2,4,7,14,30"
210,Fruits,apple,,,I use the word apple.,"1,2,4,7,14,30"
211,Fruits,banana,,,I use the word banana.,"1,2,4,7,14,30"
212,Fruits,orange,,,I use the word orange.,"1,2,4,7,14,30"
213,Fruits,lemon,,,I use the word lemon.,"1,2,4,7,14,30"
214,Fruits,mango,,,I use the word mango.,"1,2,4,7,14,30"
215,Fruits,grape,,,I use the word grape.,"1,2,4,7,14,30"
216,Fruits,watermelon,,,I use the word watermelon.,"1,2,4,7,14,30"
217,Fruits,pineapple,,,I use the word pineapple.,"1,2,4,7,14,30"
218,Fruits,coconut,,,I use the word coconut.,"1,2,4,7,14,30"
219,Fruits,strawberry,,,I use the word strawberry.,"1,2,4,7,14,30"
220,Fruits,cherry,,,I use the word cherry.,"1,2,4,7,14,30"
221,Fruits,peach,,,I use the word peach.,"1,2,4,7,14,30"
222,Fruits,pear,,,I use the word pear.,"1,2,4,7,14,30"
223,Fruits,avocado,,,I use the word avocado.,"1,2,4,7,14,30"
224,Fruits,papaya,,,I use the word papaya.,"1,2,4,7,14,30"
225,Fruits,guava,,,I use the word guava.,"1,2,4,7,14,30"
226,Animals,dog,,,I use the word dog.,"1,2,4,7,14,30"
227,Animals,cat,,,I use the word cat.,"1,2,4,7,14,30"
228,Animals,horse,,,I use the word horse.,"1,2,4,7,14,30"
229,Animals,cow,,,I use the word cow.,"1,2,4,7,14,30"
230,Animals,pig,,,I use the word pig.,"1,2,4,7,14,30"
231,Animals,sheep,,,I use the word sheep.,"1,2,4,7,14,30"
232,Animals,goat,,,I use the word goat.,"1,2,4,7,14,30"
233,Animals,rabbit,,,I use the word rabbit.,"1,2,4,7,14,30"
234,Animals,mouse,,,I use the word mouse.,"1,2,4,7,14,30"
235,Animals,rat,,,I use the word rat.,"1,2,4,7,14,30"
236,Animals,lion,,,I use the word lion.,"1,2,4,7,14,30"
237,Animals,tiger,,,I use the word tiger.,"1,2,4,7,14,30"
238,Animals,bear,,,I use the word bear.,"1,2,4,7,14,30"
239,Animals,elephant,,,I use the word elephant.,"1,2,4,7,14,30"
240,Animals,monkey,,,I use the word monkey.,"1,2,4,7,14,30"
241,Animals,bird,,,I use the word bird.,"1,2,4,7,14,30"
242,Animals,snake,,,I use the word snake.,"1,2,4,7,14,30"
243,Animals,frog,,,I use the word frog.,"1,2,4,7,14,30"
244,Animals,insect,,,I use the word insect.,"1,2,4,7,14,30"
245,Animals,pet,,,I use the word pet.,"1,2,4,7,14,30"
246,Sports,sport,,,I use the word sport.,"1,2,4,7,14,30"
247,Sports,football,,,I use the word football.,"1,2,4,7,14,30"
248,Sports,basketball,,,I use the word basketball.,"1,2,4,7,14,30"
249,Sports,tennis,,,I use the word tennis.,"1,2,4,7,14,30"
250,Sports,volleyball,,,I use the word volleyball.,"1,2,4,7,14,30"
251,Sports,swimming,,,I use the word swimming.,"1,2,4,7,14,30"
252,Sports,running,,,I use the word running.,"1,2,4,7,14,30"
253,Sports,cycling,,,I use the word cycling.,"1,2,4,7,14,30"
254,Sports,golf,,,I use the word golf.,"1,2,4,7,14,30"
255,Sports,boxing,,,I use the word boxing.,"1,2,4,7,14,30"
256,Sports,player,,,I use the word player.,"1,2,4,7,14,30"
257,Sports,team,,,I use the word team.,"1,2,4,7,14,30"
258,Sports,match,,,I use the word match.,"1,2,4,7,14,30"
259,Sports,game,,,I use the word game.,"1,2,4,7,14,30"
260,Sports,win,,,I use the word win.,"1,2,4,7,14,30"
261,Sports,lose,,,I use the word lose.,"1,2,4,7,14,30"
262,Sports,ball,,,I use the word ball.,"1,2,4,7,14,30"
263,Sports,coach,,,I use the word coach.,"1,2,4,7,14,30"
264,Music,music,,,I use the word music.,"1,2,4,7,14,30"
265,Music,song,,,I use the word song.,"1,2,4,7,14,30"
266,Music,band,,,I use the word band.,"1,2,4,7,14,30"
267,Music,guitar,,,I use the word guitar.,"1,2,4,7,14,30"
268,Music,piano,,,I use the word piano.,"1,2,4,7,14,30"
269,Music,violin,,,I use the word violin.,"1,2,4,7,14,30"
270,Music,drum,,,I use the word drum.,"1,2,4,7,14,30"
271,Music,voice,,,I use the word voice.,"1,2,4,7,14,30"
272,Music,concert,,,I use the word concert.,"1,2,4,7,14,30"
273,Music,dance,,,I use the word dance.,"1,2,4,7,14,30"
274,Music,rhythm,,,I use the word rhythm.,"1,2,4,7,14,30"
275,Music,melody,,,I use the word melody.,"1,2,4,7,14,30"
276,Music,sound,,,I use the word sound.,"1,2,4,7,14,30"
277,Music,radio,,,I use the word radio.,"1,2,4,7,14,30"
278,Music,album,,,I use the word album.,"1,2,4,7,14,30"
279,Transportation,car,,,I use the word car.,"1,2,4,7,14,30"
280,Transportation,bus,,,I use the word bus.,"1,2,4,7,14,30"
281,Transportation,train,,,I use the word train.,"1,2,4,7,14,30"
282,Transportation,taxi,,,I use the word taxi.,"1,2,4,7,14,30"
283,Transportation,bicycle,,,I use the word bicycle.,"1,2,4,7,14,30"
284,Transportation,motorcycle,,,I use the word motorcycle.,"1,2,4,7,14,30"
285,Transportation,plane,,,I use the word plane.,"1,2,4,7,14,30"
286,Transportation,airport,,,I use the word airport.,"1,2,4,7,14,30"
287,Transportation,ship,,,I use the word ship.,"1,2,4,7,14,30"
288,Transportation,boat,,,I use the word boat.,"1,2,4,7,14,30"
289,Transportation,ticket,,,I use the word ticket.,"1,2,4,7,14,30"
290,Transportation,station,,,I use the word station.,"1,2,4,7,14,30"
291,Transportation,road,,,I use the word road.,"1,2,4,7,14,30"
292,Transportation,traffic,,,I use the word traffic.,"1,2,4,7,14,30"
293,Transportation,bridge,,,I use the word bridge.,"1,2,4,7,14,30"
294,Transportation,map,,,I use the word map.,"1,2,4,7,14,30"
295,Transportation,journey,,,I use the word journey.,"1,2,4,7,14,30"
296,Transportation,travel,,,I use the word travel.,"1,2,4,7,14,30"
297,Weather,weather,,,I use the word weather.,"1,2,4,7,14,30"
298,Weather,sun,,,I use the word sun.,"1,2,4,7,14,30"
299,Weather,sunshine,,,I use the word sunshine.,"1,2,4,7,14,30"
300,Weather,rain,,,I use the word rain.,"1,2,4,7,14,30"
301,Weather,storm,,,I use the word storm.,"1,2,4,7,14,30"
302,Weather,wind,,,I use the word wind.,"1,2,4,7,14,30"
303,Weather,cloud,,,I use the word cloud.,"1,2,4,7,14,30"
304,Weather,fog,,,I use the word fog.,"1,2,4,7,14,30"
305,Weather,snow,,,I use the word snow.,"1,2,4,7,14,30"
306,Weather,warm,,,I use the word warm.,"1,2,4,7,14,30"
307,Weather,cool,,,I use the word cool.,"1,2,4,7,14,30"
308,Weather,dry,,,I use the word dry.,"1,2,4,7,14,30"
309,Weather,wet,,,I use the word wet.,"1,2,4,7,14,30"
310,Weather,temperature,,,I use the word temperature.,"1,2,4,7,14,30"
311,Weather,season,,,I use the word season.,"1,2,4,7,14,30"
312,Weather,spring,,,I use the word spring.,"1,2,4,7,14,30"
313,Weather,summer,,,I use the word summer.,"1,2,4,7,14,30"
314,Weather,autumn,,,I use the word autumn.,"1,2,4,7,14,30"
315,Weather,winter,,,I use the word winter.,"1,2,4,7,14,30"
316,Computer,computer,,,I use the word computer.,"1,2,4,7,14,30"
317,Computer,screen,,,I use the word screen.,"1,2,4,7,14,30"
318,Computer,keyboard,,,I use the word keyboard.,"1,2,4,7,14,30"
319,Computer,printer,,,I use the word printer.,"1,2,4,7,14,30"
320,Computer,file,,,I use the word file.,"1,2,4,7,14,30"
321,Computer,folder,,,I use the word folder.,"1,2,4,7,14,30"
322,Computer,program,,,I use the word program.,"1,2,4,7,14,30"
323,Computer,website,,,I use the word website.,"1,2,4,7,14,30"
324,Computer,internet,,,I use the word internet.,"1,2,4,7,14,30"
325,Computer,email,,,I use the word email.,"1,2,4,7,14,30"
326,Computer,password,,,I use the word password.,"1,2,4,7,14,30"
327,Computer,data,,,I use the word data.,"1,2,4,7,14,30"
328,Computer,code,,,I use the word code.,"1,2,4,7,14,30"
329,Computer,app,,,I use the word app.,"1,2,4,7,14,30"
330,Computer,download,,,I use the word download.,"1,2,4,7,14,30"
331,Computer,upload,,,I use the word upload.,"1,2,4,7,14,30"
332,Computer,search,,,I use the word search.,"1,2,4,7,14,30"
333,Computer,click,,,I use the word click.,"1,2,4,7,14,30"
334,The Earth,earth,,,I use the word earth.,"1,2,4,7,14,30"
335,The Earth,world,,,I use the word world.,"1,2,4,7,14,30"
336,The Earth,land,,,I use the word land.,"1,2,4,7,14,30"
337,The Earth,sea,,,I use the word sea.,"1,2,4,7,14,30"
338,The Earth,ocean,,,I use the word ocean.,"1,2,4,7,14,30"
339,The Earth,river,,,I use the word river.,"1,2,4,7,14,30"
340,The Earth,lake,,,I use the word lake.,"1,2,4,7,14,30"
341,The Earth,mountain,,,I use the word mountain.,"1,2,4,7,14,30"
342,The Earth,hill,,,I use the word hill.,"1,2,4,7,14,30"
343,The Earth,forest,,,I use the word forest.,"1,2,4,7,14,30"
344,The Earth,island,,,I use the word island.,"1,2,4,7,14,30"
345,The Earth,country,,,I use the word country.,"1,2,4,7,14,30"
346,The Earth,city,,,I use the word city.,"1,2,4,7,14,30"
347,The Earth,village,,,I use the word village.,"1,2,4,7,14,30"
348,The Earth,nature,,,I use the word nature.,"1,2,4,7,14,30"
349,The Earth,environment,,,I use the word environment.,"1,2,4,7,14,30"
350,The Earth,air,,,I use the word air.,"1,2,4,7,14,30"
351,The Earth,fire,,,I use the word fire.,"1,2,4,7,14,30"
352,The Earth,space,,,I use the word space.,"1,2,4,7,14,30"
353,The Earth,planet,,,I use the word planet.,"1,2,4,7,14,30"
354,Core English,able,,,I use the word able.,"1,2,4,7,14,30"
355,Core English,about,,,I use the word about.,"1,2,4,7,14,30"
356,Core English,above,,,I use the word above.,"1,2,4,7,14,30"
357,Core English,accept,,,I use the word accept.,"1,2,4,7,14,30"
358,Core English,account,,,I use the word account.,"1,2,4,7,14,30"
359,Core English,across,,,I use the word across.,"1,2,4,7,14,30"
360,Core English,act,,,I use the word act.,"1,2,4,7,14,30"
361,Core English,action,,,I use the word action.,"1,2,4,7,14,30"
362,Core English,add,,,I use the word add.,"1,2,4,7,14,30"
363,Core English,address,,,I use the word address.,"1,2,4,7,14,30"
364,Core English,advice,,,I use the word advice.,"1,2,4,7,14,30"
365,Core English,agree,,,I use the word agree.,"1,2,4,7,14,30"
366,Core English,allow,,,I use the word allow.,"1,2,4,7,14,30"
367,Core English,almost,,,I use the word almost.,"1,2,4,7,14,30"
368,Core English,alone,,,I use the word alone.,"1,2,4,7,14,30"
369,Core English,already,,,I use the word already.,"1,2,4,7,14,30"
370,Core English,always,,,I use the word always.,"1,2,4,7,14,30"
371,Core English,amount,,,I use the word amount.,"1,2,4,7,14,30"
372,Core English,appear,,,I use the word appear.,"1,2,4,7,14,30"
373,Core English,area,,,I use the word area.,"1,2,4,7,14,30"
374,Core English,arrive,,,I use the word arrive.,"1,2,4,7,14,30"
375,Core English,art,,,I use the word art.,"1,2,4,7,14,30"
376,Core English,ask,,,I use the word ask.,"1,2,4,7,14,30"
377,Core English,away,,,I use the word away.,"1,2,4,7,14,30"
378,Core English,bad,,,I use the word bad.,"1,2,4,7,14,30"
379,Core English,become,,,I use the word become.,"1,2,4,7,14,30"
380,Core English,begin,,,I use the word begin.,"1,2,4,7,14,30"
381,Core English,believe,,,I use the word believe.,"1,2,4,7,14,30"
382,Core English,best,,,I use the word best.,"1,2,4,7,14,30"
383,Core English,better,,,I use the word better.,"1,2,4,7,14,30"
384,Core English,between,,,I use the word between.,"1,2,4,7,14,30"
385,Core English,big,,,I use the word big.,"1,2,4,7,14,30"
386,Core English,bring,,,I use the word bring.,"1,2,4,7,14,30"
387,Core English,build,,,I use the word build.,"1,2,4,7,14,30"
388,Core English,business,,,I use the word business.,"1,2,4,7,14,30"
389,Core English,buy,,,I use the word buy.,"1,2,4,7,14,30"
390,Core English,call,,,I use the word call.,"1,2,4,7,14,30"
391,Core English,can,,,I use the word can.,"1,2,4,7,14,30"
392,Core English,care,,,I use the word care.,"1,2,4,7,14,30"
393,Core English,carry,,,I use the word carry.,"1,2,4,7,14,30"
394,Core English,change,,,I use the word change.,"1,2,4,7,14,30"
395,Core English,check,,,I use the word check.,"1,2,4,7,14,30"
396,Core English,choose,,,I use the word choose.,"1,2,4,7,14,30"
397,Core English,clean,,,I use the word clean.,"1,2,4,7,14,30"
398,Core English,clear,,,I use the word clear.,"1,2,4,7,14,30"
399,Core English,close,,,I use the word close.,"1,2,4,7,14,30"
400,Core English,come,,,I use the word come.,"1,2,4,7,14,30"
401,Core English,common,,,I use the word common.,"1,2,4,7,14,30"
402,Core English,company,,,I use the word company.,"1,2,4,7,14,30"
403,Core English,complete,,,I use the word complete.,"1,2,4,7,14,30"
404,Core English,consider,,,I use the word consider.,"1,2,4,7,14,30"
405,Core English,continue,,,I use the word continue.,"1,2,4,7,14,30"
406,Core English,control,,,I use the word control.,"1,2,4,7,14,30"
407,Core English,cook,,,I use the word cook.,"1,2,4,7,14,30"
408,Core English,cost,,,I use the word cost.,"1,2,4,7,14,30"
409,Core English,create,,,I use the word create.,"1,2,4,7,14,30"
410,Core English,cut,,,I use the word cut.,"1,2,4,7,14,30"
411,Core English,daily,,,I use the word daily.,"1,2,4,7,14,30"
412,Core English,dark,,,I use the word dark.,"1,2,4,7,14,30"
413,Core English,day,,,I use the word day.,"1,2,4,7,14,30"
414,Core English,decide,,,I use the word decide.,"1,2,4,7,14,30"
415,Core English,describe,,,I use the word describe.,"1,2,4,7,14,30"
416,Core English,develop,,,I use the word develop.,"1,2,4,7,14,30"
417,Core English,different,,,I use the word different.,"1,2,4,7,14,30"
